Řádek 3283 | nazev_zakazky: stavba č. 42821 Dvorecký most, znalecký posudek | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: PKF APOGEO Esteem, a.s. | smluvni_cena_bez_dph_kc: 78000.0 | datum_uzavreni_smlouvy: 2026-02-05
Řádek 3349 | nazev_zakazky: stavba č. 42821 Dvorecký most; přeložky PREdi | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Pronto Elektro Praha, s.r.o. | smluvni_cena_bez_dph_kc: 2684016.0 | datum_uzavreni_smlouvy: 2023-04-03
Řádek 3382 | nazev_zakazky: oprava asfaltové cesty na severním úpatí Vítkova - mostek PD | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: FanIT s.r.o. | smluvni_cena_bez_dph_kc: 40200.0 | datum_uzavreni_smlouvy: 2020-11-20
Řádek 3445 | nazev_zakazky: Stavba č. 9515 MO Myslbekova-Prašný most, UPS v garážích Prašný most, Technický dozor investora | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Inženýring TKB a.s. | smluvni_cena_bez_dph_kc: 96000.0 | datum_uzavreni_smlouvy: 2020-09-08
Řádek 3595 | nazev_zakazky: Stavba č. 42177 Zelená Malovanka, Etapa 0002 Pěší propojení, Vypracování mostního listu, hlavní mostní prohlídky a statické posouzení původního mostu X-076 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: PUDIS a.s. | smluvni_cena_bez_dph_kc: 98440.0 | datum_uzavreni_smlouvy: 2021-10-12
Řádek 3662 | nazev_zakazky: Specializované právní činnosti a konzultace v rámci samostatné působnosti hl. m. Prahy k plánovacím smlouvám ke změně ÚP č. Z 2600 | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Frank Bold Advokáti, s.r.o. | smluvni_cena_bez_dph_kc: 2400000.0 | datum_uzavreni_smlouvy: 2024-09-25
Řádek 3737 | nazev_zakazky: Nákup 2 ks sekčních průmyslových vrat pro Dílny OP2, SŠAI | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: ALTOMA spol. s r.o. | smluvni_cena_bez_dph_kc: 499850.0 | datum_uzavreni_smlouvy: 2024-08-06
Řádek 3764 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; autorský dozor | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: VPÚ DECO PRAHA a.s. | smluvni_cena_bez_dph_kc: 9480000.0 | datum_uzavreni_smlouvy: 2021-12-29
Řádek 3878 | nazev_zakazky: Objednávka na vyhotovení GP parc.č. 232/689, 232/691, 491 k. ú. Černý Most. | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: AREA geodet Čížková, spol. s r.o. | smluvni_cena_bez_dph_kc: 20000.0 | datum_uzavreni_smlouvy: 2022-09-05
Řádek 3879 | nazev_zakazky: Objednávka na vyhotovení GP parc.č. 232/478, 232/827 k. ú. Černý Most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: AREA geodet Čížková, spol. s r.o. | smluvni_cena_bez_dph_kc: 14000.0 | datum_uzavreni_smlouvy: 2022-09-05
Řádek 3881 | nazev_zakazky: Objednávka na vyhotovení GP parc.č. 393, 221/641 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: AREA geodet Čížková, spol. s r.o. | smluvni_cena_bez_dph_kc: 25000.0 | datum_uzavreni_smlouvy: 2022-09-05
Řádek 3891 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; správce stavby | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Inženýring dopravních staveb a.s. | smluvni_cena_bez_dph_kc: 1953000.0 | datum_uzavreni_smlouvy: 2021-12-21
Řádek 3894 | nazev_zakazky: G638A/P6 výměna pohonu Siemens,,G637/P6 Oprava kotle K1,,Výměna ventilátoru VZT kotelny Vaníčkova,,Výměna servopohonu směšovacího ventilu ÚT na PS H26 Přecechtělova 26,,Oprava filtračního zařízení Euroclean na PS I27 Přecechtělova 39,,Výměna čidla TUV a úprava softwaru (TREND). Nefunkční dobíjení TUV VS Františkova: Fejfarova 920/17, P9-Černý most, G842/P6 Oprava dopuštění Olymp | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Veolia Energie ČR, a.s. | smluvni_cena_bez_dph_kc: 148450.66 | datum_uzavreni_smlouvy: 2021-12-08
Řádek 4043 | nazev_zakazky: stavba č. 42821 Dvorecký most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: TUBES spol. s r.o. | smluvni_cena_bez_dph_kc: 4493800.0 | datum_uzavreni_smlouvy: 2021-03-31
Řádek 4213 | nazev_zakazky: Znalecký posudek odhadu tržní ceny pozemku parc.č. 221/230 v k.ú. Černý Most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: ATING, s.r.o. | smluvni_cena_bez_dph_kc: 50000.0 | datum_uzavreni_smlouvy: 2022-04-07
Řádek 4214 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; zajištění dočasných služeb technického dozoru stavebníka | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Inženýring dopravních staveb a.s. | smluvni_cena_bez_dph_kc: 150000.0 | datum_uzavreni_smlouvy: 2022-05-05
Řádek 4224 | nazev_zakazky: Projektová dokumentace demolice stávajícího mostu v Letenských sadech | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: FIRAST s.r.o. | smluvni_cena_bez_dph_kc: 65537.19 | datum_uzavreni_smlouvy: 2022-02-24
Řádek 4445 | nazev_zakazky: Objednávka zajištění produkce AI Olympiády v prostorách NEXT ZONE | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Smíchovská střední průmyslová škola, gymnázium a hotelová škola Radlická, příspěvková organizace | smluvni_cena_bez_dph_kc: 19520.0 | datum_uzavreni_smlouvy: 2026-06-11
Řádek 4508 | nazev_zakazky: Stavba č. 3106 „TV Suchdol etapa 0007 Komunikace – Výhledy, splašková kanalizace | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Chramosta Michal, Ing. | smluvni_cena_bez_dph_kc: 30000.0 | datum_uzavreni_smlouvy: 2021-02-19
Řádek 4690 | nazev_zakazky: Oprava koryta Pitkovického potoka v k.ú. Benice, I. etapa, nad mostem Květnového povstání - DVZ | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Ing. Jiří Hybášek | smluvni_cena_bez_dph_kc: 138000.0 | datum_uzavreni_smlouvy: 2023-08-07
Řádek 4725 | nazev_zakazky: Objednávka ZP - pozemek parc. č. 232/210 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 4500.0 | datum_uzavreni_smlouvy: 2025-01-13
Řádek 4800 | nazev_zakazky: Oprava havárie boileru PS Z18 ,Petržílkova 2484, Oprava havárie boileru PS Z18, Petržílkova 2484, Montáž Mk ventilu Reflex – Vybíralova, Kuttelwascherova: Vybíralova 938/31, Praha 9-Černý most , Montáž Mk ventilu Reflex – Fejfarova, Františkova : Fejfarova 920/17, Praha 9- Černý most , Výměna záložního zdroje a manometrů primer. , Metropolitní univerzita Praha, Dubečská 900/10 , Praha 10-Strašnice , Výměna netěsné tlakové nádoby stabilní - Olivova nadace Ambulance , Výměna vadných uzavíracích armatur, U zeleného ptáka 1158, Praha 4- Kunratice , Závada z revize, doplnění vodivého pospojení VS, Dubečská 900/10, Praha 10 - Strašnice | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Veolia Energie ČR, a.s. | smluvni_cena_bez_dph_kc: 76740.41 | datum_uzavreni_smlouvy: 2020-11-13
Řádek 4987 | nazev_zakazky: stavba č.42932 P+R Černý Most III. | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: BEWERT spol. s r.o. | smluvni_cena_bez_dph_kc: 26500.0 | datum_uzavreni_smlouvy: 2020-10-07
Řádek 5428 | nazev_zakazky: Výměna datového kabelu KAM 501633 v rámci stavby č. 9515 MO Malovanka – Prašný most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Colsys s.r.o. | smluvni_cena_bez_dph_kc: 4860.0 | datum_uzavreni_smlouvy: 2020-10-15
Řádek 5435 | nazev_zakazky: OBJ/35/04/017535/2023 - Smlouva na úplatné nabytí movitého majetku torza mostu bývalé polní dráhy ČOV v Bubenči do vlastnictví Hlavního města Prahy | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Olejníček Jan, JUDr., advokát | smluvni_cena_bez_dph_kc: 19000.0 | datum_uzavreni_smlouvy: 2023-04-12
Řádek 5523 | nazev_zakazky: st. č. 42932 P+R Černý Most III. | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: BAK stavební společnost, a.s. | smluvni_cena_bez_dph_kc: 1322420.0 | datum_uzavreni_smlouvy: 2020-11-10
Řádek 5627 | nazev_zakazky: Nákup knižní publikace „Ocelové nýtované mosty v Praze“ | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Cattacan, s.r.o. | smluvni_cena_bez_dph_kc: 11160.0 | datum_uzavreni_smlouvy: 2024-01-09
Řádek 5634 | nazev_zakazky: Vypracování projektové dokumentace včetně zajištění IČ na akci: Obnova zapínacího místa číslo 1204 včetně propojení VO v ulici Průmyslová - Radiová | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Sněhota C&C s.r.o. | smluvni_cena_bez_dph_kc: 97300.0 | datum_uzavreni_smlouvy: 2021-01-12
Řádek 5637 | nazev_zakazky: Vypracování projektové dokumentace včetně zajištění IČ na akci: „Přeložka zapínacího místa číslo 0484 na pozemek parcelní číslo 20/4 v katastrálním území Hloubětín, obec Praha v koordinaci s rekonstrukcí křižovatky Poděbradská - Průmyslová“ | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: ALMAPRO, s.r.o. | smluvni_cena_bez_dph_kc: 98000.0 | datum_uzavreni_smlouvy: 2021-01-12
